# Test data for ascii data initial conditions.
# Only next line is parsed in format: [nlongitude] [ncolatitude] because of keyword "POINTS:"
# POINTS: 201 241
# Columns: longitude colatitude litho crust
0.283616 1.22609 50000	46031 30878 15719 3044.34008789 2861.67993164 2760.19995117
0.287979 1.22609 50000	47233 31680 16121 3049.41992188 2866.44995117 2764.80004883
0.292343 1.22609 50000	48435 32483 16524 3054.48999023 2871.2199707 2769.39990234
0.296706 1.22609 50000	49637 33286 16926 3059.56005859 2875.98999023 2774
0.301069 1.22609 50000	50335 33748 17153 3062.15991211 2878.42993164 2776.36010742
0.305433 1.22609 54477.2	50236 33672 17104 3060 2876.39990234 2774.39990234
0.309796 1.22609 58805	50206 33641 17076 3060 2876.39990234 2774.39990234
0.314159 1.22609 62966.5	50176 33610 17049 3060 2876.39990234 2774.39990234
0.318523 1.22609 67410.3	50168 33598 17038 3060 2876.39990234 2774.39990234
0.322886 1.22609 71621.8	50220 33670 17132 3063.94995117 2880.11010742 2777.97998047
0.327249 1.22609 72730.4	50315 33798 17293 3070.26000977 2886.04003906 2783.69995117
0.331613 1.22609 73501.4	50410 33926 17455 3076.57006836 2891.9699707 2789.41992188
0.335976 1.22609 74400.8	50505 34055 17617 3082.87988281 2897.89990234 2795.13989258
0.340339 1.22609 75324.6	50497 34069 17653 3090.77001953 2905.32006836 2802.30004883
0.344703 1.22609 74939	50275 33980 17697 3084.42993164 2899.36010742 2796.55004883
0.349066 1.22609 74643.7	50053 33892 17742 3078.08007812 2893.39990234 2790.80004883
0.353429 1.22609 74629.1	49831 33803 17787 3071.73999023 2887.43994141 2785.05004883
0.357792 1.22609 74670.1	49145 33368 17601 3065.33007812 2881.40991211 2779.22998047
0.362156 1.22609 73263.7	48353 32855 17364 3057.83007812 2874.36010742 2772.42993164
0.366519 1.22609 71829	47226 32097 16975 3045.05004883 2862.35009766 2760.85009766
0.370882 1.22609 70579.5	46099 31339 16586 3032.27001953 2850.34008789 2749.26000977
0.375246 1.22609 69742.1	45386 30846.9980469 16313.9990234 3019.40991211 2838.23999023 2737.60009766
0.379609 1.22609 70792.3	44712 30378.9980469 16051.9990234 3006.54003906 2826.13989258 2725.92993164
0.383972 1.22609 72150.1	44360 30130.0019531 15905.0009766 3000 2820 2720
0.388336 1.22609 73476.1	44342 30107.0019531 15876.0009766 3000 2820 2720
0.392699 1.22609 74428.9	43210 29299 15396.0009766 2979.88989258 2801.10009766 2701.77001953
0.397062 1.22609 73412.6	41951 28403 14864.0009766 2957.51000977 2780.06005859 2681.47998047
0.401426 1.22609 71926.4	40692 27506 14333.0009766 2935.12988281 2759.02001953 2661.17993164
0.405789 1.22609 70204.7	40505 27353 14213.0009766 2934.23999023 2758.18994141 2660.37988281
0.410152 1.22609 68451.7	41426 27933 14452.0009766 2944.29003906 2767.62988281 2669.48999023
0.414516 1.22609 67989.3	42480 28600 14732 2955.31005859 2777.98999023 2679.47998047
0.418879 1.22609 67429.9	43535 29267 15012.0009766 2966.33007812 2788.35009766 2689.47998047
0.423242 1.22609 66547.6	44391 29807 15236 2976.2800293 2797.69995117 2698.48999023
0.427606 1.22609 65370	44145 29617.9980469 15102 2974.95996094 2798.58007812 2699.25
0.431969 1.22609 64330.1	44246 29685 15130 2982.89990234 2805.19995117 2705.66992188
0.436332 1.22609 63014.9	44348 29751 15157 2990.83007812 2811.81005859 2712.08007812
0.440696 1.22609 61448.5	44449 29817 15184 2998.77001953 2818.42993164 2718.5
0.445059 1.22609 60118.7	43434 29128 14820 2991.16992188 2811.69995117 2711.98999023
0.449422 1.22609 61944.8	42082 28208 14329 2978.33007812 2799.62988281 2700.35009766
0.453786 1.22609 64020.5	40730 27287 13838 2965.5 2787.57006836 2688.7199707
0.458149 1.22609 65879.6	39378 26367 13346 2952.65991211 2775.5 2677.08007812
0.462512 1.22609 67564.2	39108 26180 13240 2953.19995117 2776.01000977 2677.57006836
0.466876 1.22609 69789.3	40312 26991 13658 2974.75 2796.26000977 2697.11010742
0.471239 1.22609 71869	41516 27802 14077 2996.29003906 2816.52001953 2716.63989258
0.475602 1.22609 73689.6	42719 28613 14496 3017.84008789 2836.77001953 2736.16992188
0.479966 1.22609 75025.7	43560 29179 14786 3031.60009766 2848.59008789 2747.62011719
0.484329 1.22609 74488.4	42906 28756 14596 3019.92993164 2845.73999023 2744.54003906
0.488692 1.22609 73459.8	42252 28332 14406 3008.25 2842.88989258 2741.4699707
0.493056 1.22609 72199.1	41598 27909 14217 2996.58007812 2840.04003906 2738.38989258
0.497419 1.22609 71058.2	41015 27534 14051 2984.75 2831.7199707 2730.26000977
0.501782 1.22609 72066.8	40466 27180 13891 2972.93994141 2820.27001953 2719.2199707
0.506145 1.22609 73259.3	39895 26802 13707 2961.41992188 2809 2708.37011719
0.510509 1.22609 74349.1	39324 26425 13523 2949.90991211 2797.7199707 2697.51000977
0.514872 1.22609 75140.3	38753 26048 13339 2938.38989258 2786.43994141 2686.64990234
0.519235 1.22609 74318.7	39099 26272 13443 2937.14990234 2790.52001953 2690.37011719
0.523599 1.22609 73208.9	39851 26759 13668 2941.02001953 2800.01000977 2699.29003906
0.527962 1.22609 72019.7	41088 27555 14020 2952.91992188 2811.34008789 2710.20996094
0.532325 1.22609 71051.7	42325 28351 14372 2964.82006836 2822.66992188 2721.12988281
0.536689 1.22609 72260.2	43562 29147 14724 2976.7199707 2834 2732.06005859
0.541052 1.22609 73718.6	43719 29225 14722 2978.39990234 2835.60009766 2733.60009766
0.545415 1.22609 75167.2	43562 29094 14618 2977.08007812 2834.34008789 2732.38989258
0.549779 1.22609 76490.9	42341 28262 14181 2965.5300293 2823.34008789 2721.79003906
0.554142 1.22609 76711.6	41120 27431 13743 2953.97998047 2812.35009766 2711.17993164
0.558505 1.22609 76944	39899 26599 13305 2942.42993164 2801.35009766 2700.58007812
